Kind of TV card,Idiot
Pitters.,stoners
Marsupial in Washington zoo ,Wallawalla Wallaby
"Groups of animals, to biologists",taxa
Sermon,lecture
Evelyn Waugh's author brother,Alec
A person's principal home,domicile
Obscurity,nowhere
"Go in, and after that it's enough to make one sick",enter
*Resume old habits,reverttotype
Parrot's cartoon cry,a wk
Ancient fabulist.,aesop
"Rattigan's ""'Separate ___""",tables
Orlando-to-Ft. Myers dir.,ssw
Leftover scrap.,or t
Japanese film monster,Godzilla
Afro-Cuban dance popular in the ballroom era,rumba
Li'l guy who's being musical-comedy-ized. ,abner
Sows again,reseeds
"Piers Morgan show, for short",AGT
Hopelessly one-sided encounter,mismatch
Winter racers,luges
Part of the main body of marines working in the water,subgroup
TV-commercial phrase,shop late
What a sailmaker does.,sews
"Sum up, in short ",recap
Stretched shapes,oblongs
Andean country,Peru
Sort of cabbage,skunk
Infect or spoil,taint
Craft needed by a member of the orchestra,tuba
Akron-to-Detroit shipment ,tires
"Small, swarming insect",gnat
Cockney's invitation to climb aboard,Opon
Ancient Greek lyre-like instruments.,cithara
Lack of musical sense,tinear
Inviting.,asking
Place for an uptown potato,sofas
Aptly named sprinter Usain,bolt
Pitcher's delivery,Spiel
Stain-free,clean
Style of loose-fitting casual jumpsuit,one sie
State to go red in America anticipates a party,Colorado
Operation at Wimbledon. ,match
Less-traveled way,by path
Card. ,ten
"Onion rings, for one",side order
'That's ___!' ('In all my years ...'),a first
Haifa currency,Shekel
"Guided by instinct, did nothing",idled
Sign of website malfunction (wordplay),inert gif
Type of pigeon,homer
Chicago SunTimess Movie Answer Man,ebert
New Delhi nanny,ayah
Wildlife preserve (and National Park) in Tanzania,Serengeti
Spoke quietly (wordplay),signed
"The wren, regularly disappearing bird",tern
Middle word in the motto of the French Revolution,egalite
School auxiliaries,PT as
Fireman's device,ladder
It has four bases,dna
Puts away for good,offs
Ramp word,exit
Trixie's best friend,alice
"Walter, for one. Good gracious!",great scot
"Picture of good health, hopefully? abbreviation",mri
'___ Body?' (first Peter Wimsey novel),whose
Observation about sprouting aromatic plants (wordplay),somethingsareminttobe
Bits of land in water ,islets
Cooked in vapour,steamed
"March's ""The ___ Seed""",bad
Son of Zeus and Hera ,are s
"American humorous writer, d. 1910",marktwain
Returns the favor,repays
Data-entry pro,typist
"""Gee whiz!""",Holy Cow
Italian river,adda
Belfry sounds ,dingdongs
Wrest,wring
Off target for point - put on Lane!,widen
Golden-brown quartz,tiger eye
Limitless in a way. ,in satiate
___-Caps (concession stand candy),sno
Something that stuns,dazer
What Ga. was to 4 Down,home
Slammers,pokeys
Jakes Brokeback Mountain costar,heath
Apron (abbrev.),pinny
Insurance type that may cover canines (wordplay),dental
Witness,see
"'Want ten ants for this here (2,3)'",to let
Must see statements,raves
Prefix for school or screen,pre
Dependency,colony
"Game, North American game in court",Croquet
Big fiddlers,bassists
Might get signed to one,label
Famous orator of 177475.,Burke
A denial requiring translation soon,an on
Bundle at a hardware store,wire
Class-cheater's aid,trot
Start of many French restaurant names,chez
I'm ___ and I own this diner,Alacarte
Be abstracted,dream
Bighead's generosity,large ness
In favor,for
Carte that comes before the course,menu
Not quite. ,hardly
Make a grating noise,rasp
"Is felt, perhaps, to be egocentric (wordplay)",itself
Title for a knight's wife,Lady
Religious rites peculiar to Salisbury Cathedral in medieval times,sarumuse
Indigestion aid,milk of magnesia
"Lounge lizard, at times",Leerer
Hispanic organization,La Raza
Canyon response,echo
Become so excited as to lose control,boil over
Like a basset hound,flopeared
Parts of an outfit,shoes
Wadi's kin,arroyo
Barnyard sounds ,baas
A rhyme scheme,aaba
Overwhelming victory,romp
Reversed an opinion,came around
Marcos with an enormous shoe collection,Imelda
"Old man of the sea, to Homer",proteus
third,slash
Sound from a blast furnace,roar
Onetime label for Milli Vanilli,arista
This places a burden upon you and me,onus
Hindquarters,rump
'That's mine!',Gimme
"Bill's ""Groundhog Day"" costar",andie
Furthest point or degree of effort,utmost
McDowall role 1968 ,ape
"Fearsome dinosaur, for short",trex
In particular,notably
Snarls,tangles
Sketch,etcha
Squid's decade,arms
Repentance,penance
Mr. Rochester lived there,Thornfield
In an anxious manner,nervously
Wine's counterpart,dine
Ditto 32 Across.,Sunday
"Reddish-brown horse fails to eat spice (3,6)",bay leaves
Lum's chum,abner
Scout rider,ton to
Lucy or Fred ,stone
Get 100 on a test,ace it
Dandy bagging large turkey,flop
Tan shades,Ecrus
At fifty...,giving counsel
Eastern collegian ,ELI
Eng. lexicon ,oed
"Sovereign exercises right in capital, upon return",emperor
Append. ,attach
"Fasten tightly, ""read rights while affixing"" and the like (wordplay)",clff notes
Ancient Asian kingdom. ,elam
Yellow Monopoly bill,ten
Standard poodle name,fifi
Responsible person.,adult
Ancient Egyptian king.,set i
Clutch ,fist
Onetime NBC Symphony director,Arturo Toscanini
Coral island ,a toll
Chief Ger. ,haupt
Extracost item,Addon
Gridiron pause,time out
Failing,going pfft
The seventh day Abbreviation ,SAB
Eloise's milieu. ,hotel
Chicken 8 = lift,heighten
Delicacy.,tact
Flower; ascended,rose
Sea of Russia. ,Azov
Nonconformist,anti
Mary Lou of gymnastics,rett on
The universal particle. ,a tom
Manxmen eg,gaels
Cheese-producing town,edam
1980's Geena Davis sitcom,SARA
"Comeuppance that's ""eaten""",Humble Pie
John ___,Stuart Mill
Puzzle fans.,solvers
Top-secret authoritarian type caught in long grass,restricted
Kind of view,aerial
Actor Kruger.,Otto
"A single - a him, perhaps, - to a mutual extent",one another
Stillness,inertia
Multi-___ (doing things simultaneously),tasking
Suffix with fish or eel,ery
Schnabel and Assange,julians
Shoe brace used in sports. ,cleat
The last op. to be in the form of letters,postal
Post-shower sprinkling,talc
Food company's risky ventures (wordplay),Campbells Gambles
Lochinvars bride,Ellen
"As big as the ""The Great Escape"" star (wordplay)",McQueen sized
War-menaced city of Tonkin.,Hanoi
Things to repent for,sins
Moral ending (wordplay),ize
Amsterdam on old TV,Morey
Angry.,ired
Lincoln's coins,cents
France's unit of currency,euro
Crime lab holdings,dna samples
Everything's coming up ___,roses
Madison and Pennsylvania abbreviation,aves
Hill overlooking Rome. ,Montemario
High points of a vacation (wordplay),Alps
Make use of,employ
How charming to be so obstinate inside,Amulet
Step off the bus because it's on fire (wordplay),a light
Like political hawks,pro war
Seven-branched candelabrum,Menorah
Some lawyer made a play by Lorca,yerma
A European vet talking,czech
Met accidentally,ran into
"Aspiration that, as a doctor, gets one into trouble",ambition
"Well, to a Parisian.",Bien
Had down pat,knew
Judge on the bench eg,trier
Mexican plants.,Sabadillas
Blanche in a play,Dubois
The depiction I do of a Roman emperor,Mynero
Quantity of baked goods,batch
Macy Gray's first hit: 2 wds.,itry
Lad and Lassie (wordplay),pets
Quick incursion,foray
"Truman portrayer, 1995",sinise
Roe vs. ___ (Supreme Court case),Wade
Stab,whirl
"Caught stealing, for example",stat
Ole's relative ,rah
One of the Fab Four,beatle
Leather accessory for ING's logo (wordplay),Orange Lionsbelt
Planters purchases,seeds
___ Fund Management (investment company),soros
Short for Abigail. ,gail
Small gimmicky knick-knacks,novelties
Masters champ after Fuzzy,seve
Oslo,fjord
Recent Emmy-winner,Susan Lucci
Pronunciation dots,Diaeres is
Unruly hair in hood; ugh,cowlick
Words of refusal,noes
High-end eye makeup (wordplay),luxury liner
Type of viewing equipment. ,radar scope
Strain improver,Breeder
Make wrinkled,crumple
Sip slowly for taste,Savor
Triple crown for John Paul II,tiara
"""A Midsummer Night's Dream"" fairy king",oberon
'Wanna make something ___?',of it
Put on a pedestal.,idolize
Peculiar abbreviation,Idio
"US dancer and choreographer, pioneer of ""modern dance""",isadoraduncan
Moralistic snoot,prig
Pound division,canto
City that rhymes with casino,Reno
Hugs and kisses,oxoxoxo
Emulated a famous home wrecker (wordplay),huffed and puffed
See 56 Across,windbagstongue
___ sentence: essay opener,topic
Actor Herbert from the Pink Panther movies,lom
The Lost Symbol author Brown,Dan
Mineral,natron
Quirk,idiosyncrasy
Green lentil stew,dal
Carve into metal,engrave
A lava,latite
'Thimble Theatre' sea-dweller,hag
Topple,overturn
Highway sign word.,slo
St. ___ (West Indies spot),Croix
___ or Ardor: A Family Chronicle (1969 Nabokov novel),ada
Tile holder,grout
Long-legged runner,emu
Mistakenly liken cent to 5,nickel
Soft options (wordplay),sodas
Limp ,hobble
Florida isle,key
Neighbor of Mex.,cal
Portion. ,dot
Very elegant,posh
Like fine cheese. ,meLLOW
Preparatory action,preliminary
Veteran's cousin.,oldtimer
"Officer who busts Arlo for littering in ""Alice's Restaurant""",Obie
Manage; vestment,cope
Marker,tab
Makeup of some chains,hotels
"Eg, cumulus",cloud
"With 50-Down, rum cocktail",mai
"""The Sound of Music"" setting",abbey
White furs,ermines
"Reverse, as a record",flip
Greenstreet and others,sydneys
Before it's about one that lake is great,Erie
"Bound for empty line, about to get in it",Frontier
Ophidian,as p
"With 12-Down, founder of the American Shakers (born 2/29/1736)",an n
Free (someone),liberate
PEANUTS,schulz creation
What the full back and the driver need to make quickly,a turn
"Multivitamin component, often",iron
Sundance Kid's girl ,Etta
"Catch, as one's nylons",snag
Balance-sheet abbreviation,ytd
Stuffed pepper in Tex-Mex dishes,relleno
Concubine cubicles,Odas
Former French Premier.,pinay
Specify. ,stipulate
Suffix with song or gab. ,fest
Sequoyah wear,turban
Arabian Peninsula dignitary,EMIR
This may be deductible,loss
Road crew's charge,blasting powder
Epithet for Ike ,alibi
'The OldBucket',Oaken
US flags,stars
What wedding celebrants may stand in,gazebos
Golden song of long ago,oldie
In the same place: Lat.,ibidem
Beef-witted,dull
With 37 Across  Clinton's digs,White
Ended with ace food,pasta
Operative: Colloq.,tman
"The table, via the case",ablative
Impersonated on SNL by Crystal and Murphy,Ali
Smokey and the Bandit star Reynolds,Burt
Request at a checkup,Sayah
Feeble reason to restrict southern school for campaigners (wordplay),westpoint
Law gowith,order
Company that first got off the ground in 1916,Boeing
English author. ,Milne
"Son in ""The Royal Tenenbaums""",ari
Movie about aspiring singers and actors,Fame
Nuclear particles. ,mesons
"Radius, but not diameter",bone
"Speedily, to the Bard",a pace
With the hair done ,coifed
Inform,enlighten
One of the 'old enemy' who is about to end his role as ECB Academy director,marsh
"River through Battenberg, Germany",eder
'USA Today' graphic,pie chart
A Jug of Wine  of Bread,a loaf
"Que Sera, Sera singer",day
Zoo attraction.,gnu
Something to put in a computer,data
Not among top players in a tennis tournament,unseeded
Notable hymn writer,watts
Metal die,swage
Fail (exam),flunk
"Took care of, in a way",paid
Loaf,Lolly Gag
A tapestry. ,Arras
Made much of it when like this in need,enthused
Pulse fast ... one-fifty!,lentil
Pulitzer-winning poet Mark Van ___,doren
Degradation in a cellar,a basement
More inclined to listen at doors,no sier
Part of the Antilles,Haiti
Biblical pause-word ,Selah
Genuine for Shakespearean king to make comeback,for real
Friendly screwball comedy (wordplay),whatsupdoc
Leave car - recreational area,Park
"Coward, in kidspeak",fraidy cat
How droners may drone,on and on
God on the losing side of the Trojan War,are s
"Recognitions by name on films, TV programs, etc. ",credits
Chem. suffixes ,enes
Heavens!,good grief
It passes through six E. state capitals,us one
Follow ___ (do detective work),a lead
In ___,beta
Ukrainian river ,styr
Very well Colloq. ,first rate
Opie or Turner,artist
Pluck the strings,guts
"Supposedly extinct bird, recently found in Bermuda.",CA how
"Twins player in ""Start the Revolution Without Me""",Gene Wilder
"Rose point, for example",lace
"Musical featuring ""Cheek to Cheek""",top hat
Arctic ice home,igloo
Whence came some of Wharton's backgrounds,Richman Poorman
"Neuwirth of ""Chicago""",be be
Pants with pockets,trousers
Cheer at an Atletico Madrid match,Ole
Romeo takes lady to the country,rwanda
Author of Bierces dictionary,Devil
Aptly-named Israeli brand of kosher vodka,lchaim
Where ___ could it be (wordplay),else
Fall off,doze
Lake southwest of Petsamo.,en are
"What Sue Ellen Mischke wore as a top in the ""Seinfeld"" episode ""The Caddy""",bra
Drives (home). ,hammers
'... ___ joy forever',is a
A cur turned up following father to temple,Pagoda
Prefix with lateral or distant,equi
Kraft brand,tang
M'Liss author,harte
Some ESPN highlights,ots
"What Macbeth ""murdered""",sleep
This will give you all a short rest,etc
"Student body presidents, often abbreviation",srs
Wolves in sheep's clothing.,deceivers
'Wayward ___': Shyamalan TV series,pines
Mack and Lewis.,teds
Potter's date with stranger,dodder
Some hammers,peens
Saw eye to eye,agreed on
How dull for there to be nothing wet about the sound organ!,dreary
Just ___ thought,as i
Tone down.,soften
Harness part ,rein
Treat her as subject,she
Otello composer,Giuseppe Verdi
Trawling equipment. ,nets
Jet black. ,onyx
Knee exercises,bends
Good wood,oak
"""Cool Change"" softies",Little Riverband
"Make public, as an indictment",unseal
Patent,copyright
Beneficial thing,boon
"Quiet after the storm, maybe",silent treatment
"Hungry, thirsty, tormented king of mythology",tantalus
Grass covered ground,Greens Ward
"NPR correspondent Shapiro who was born in Fargo, North Dakota",ari
Outmoded abbreviation,obs
"Scam using spam, perhaps",phish
Military-grade weapon,munition
Port of Israel,acre
Preyerful place (wordplay),nest
Original 'Nashville Now' airer,tnn
Masked ball wear,disguise
According to plan,on track
Tend to tots,sit
Politician cut cord with team,Democrat
Old Christmas present 45 inches long,nowell
Its a pantomime little ones look up to her,snow white
Devour,wolf down
Spray-painted writing,Graffiti
College figure,senior
Tiresome. ,boring
"Doesn't eat, for instance",fasts
"Play about Eastern area, somewhere like Shanghai",sea port
Company abbreviation,corp
Schadenfreude's opposite,pity
Bee flats (wordplay),hive
Person filling prescriptions,pharmacist
A new San Franciscan.,giant
Stern with bows,is aac
And you ___... (wordplay),a re
Insufficient funds notification,postage due
Young 'un. ,to t
Krall the jazz singer,Diana
Egyptian sun god ,horus
"Go on without one, patently amused",Riant
Playpen playthings,toys
Ivy League school,Brown
Miss Lupino and others.,IDAS
Some industrial waste,slag
Fraternal order of Odd Fellows Abbreviation ,ioof
'What are you ___?',waiting for
"Not honor, as a promise",renegeon
Minnesota.,land of the skybluewater
One who has not been charged previously,first offender
Dahl and Amundsen,roalds
Common bake-sale sponsor,pta
Rapturous states,ecstasies
Rehearse scene in lift,practise
One-named Velvet Underground singer during the 1960s,nico
Some specials,entrees
Librarian's stamp,dater
Expectant,a gog
United.,one
Equitable,fair
The firm he shredded in an intelligible way,coherent
Hunnish king. ,at li
Bring-a-dish event,Potluck dinner
Element from the Greek word for 'strange',xenon
Like knight time,medieval
Swimsuit brand named after a Norse god,tyr
Old name for country at 25 Across,persia
Jan. and Feb,mos
Downsized so to speak,fired
Actor John,boles
10 Down  et al.,seers
Football arbiter. ,referee
Hymn to periodical pong curtailed by one sort of scanner,magnificat
Cold symptoms,a gue
Hyannis entree,scrod
Robe adornment,obi
___ on (goads) ,eggs
A halal truck might make one with beef,BLT
Like some fragrant fields,Li Lied
Beautiful nymph,houri
Something experienced on Halloween,fear
Tough assignment,tall order
Whole ___ Love (Led Zeppelin tune),Lotta
Historical language of Aruba,carib
"""I think,"" in an email",imo
First name of the creator of Veruca Salt and Augustus Gloop,roald
Spare part (wordplay),rib
He that ___ and runs... ,fights
Avengers,means
Them classic,Gloria
Cowpoke's concern,steer
Wheat,spelt
Grain in beer,malt
Georgian greeting,hiyall
Putting your foot down for what's still in glass,heeltap
Fabric ,scrim
Survivalist's structure,bomb shelter
The Natural protagonist Hobbs,Roy
Turns rapidly: Scot.,tirls
De Tocqueville who wrote 'Democracy in America',alexis
"Hacker, but not on a computer",axe
Those fast wild types produced The Chase,cheetahs
Perfect toss of sorts,spiral
Half a court game,Jai
Kind of model,fashion
In need of scratching,itchy
Core ,root
"Greater than 90, as an angle",obtuse
D.C. hours,est
What is ___ matter with you (wordplay),the
Struck by Cupid's dart (wordplay),smitten
Level and avenging (wordplay),even score
Egg cream ingredient,club soda
Award for valour,medal
What a setting sun dips below,horizon
Strictly theatre.,leg it
___ in (retired). ,turned
Is properly placed,belongs
Correlated,akin
World's fair,expo
Keeps clear of.,shuns
Trapped,in a hole
Wood smoothers ,sanders
One who seeks further qualifications by correspondence course (wordplay),post graduate
Teens' state,ACNED
Artificial spread,Oleo
Tells fortunes from wine dregs (wordplay),port ends
Extension of a ship's keel.,skeg
Federal Reserve Notes,cash
Early Atari offering,pong
Ma who starred (wordplay),Rilyn Monroe
Revealing suits,speedos
Record of a rise to fame or riches,success story
Bounce,dribble
It may take a beating,breast
Tanning nos,spfs
Tool works without resistance,pliers
He slew Tybalt in a duel. ,romeo
Dear Sir or ...,madam
Cattle in a panic,stampeders
Woods catches half of tees,copses
Introductions to The Sun Also Rises once read to the Romanov children,tsar
Brief respites.,lulls
Trample on auxiliary control,over ride
Kind of steer or rap ,bum
Novel,new
Memorable lion ,Bert Lahr
Attorney-to-be's major,prelaw
Drat! ,egad
Beef cuts named for a New York restaurateur,delmonicosteaks
Does an unflattering portrayal of,mocks
"Himalayan ""Monsters, Inc."" character",yet i
It might have a stirring part,recipe
Extremely merry on organ? I strongly disagree,my eye
Baby kangaroo living on a Pacific island nation (wordplay),Palau Joey
Yell,roar
"Phantom, unstable particles lacking nucleus",spectral
Ravel's measure of pace,knot
Skating group. ,nsa
"With 23-Down, movie with a song about a great swami in delicate health who has toughened feet and chronic bad breath? (See 1-, 6-, 18-, 24-, 57-, and 65-Across)",Mary
Three-storied Biblical vessel,ark
Restraining order (wordplay),stop it
Sarcastic statement of sympathy,boohoo
Dealer lead-in,Wheeler
17th century Puritan.,cromwell
"Stephen Strasburg, for example",nat
Tune,ditty
Bette of All About Eve,Davis
Sponsor of NASCAR's Meijer 300 race,oreo
"""What's more""",and
Cyclone's most dangerous part,eyewall
"""Parsley, ___, rosemary ... """,sage
"Part of Act 4 of ""Antony and Cleopatra"" in which Antony attempts suicide",scene xiv
Central rule can break down,nuclear
Bluish printer color,cyan
Competition for threeyearolds,Derby
Disney's Darby ___ and the Little People,Ogill
"70's TV ""___ Sharkey""",CPO
Mattel reports on Barbie's success,its beyond ourken
"Muffles, as sounds",deadens
Begun old novel in club,bludgeon
Sights at many interstate exits,inns
Relative of Helga,Oleg
Indianapolis-to-Cincinnati dir.,ese
Color on the Irish flag,orange
Chilled ,iced
Streetwalker,hooker
The Coasters' longtime record label,at co
"""___ Again."" ",destryrides
California tourist attraction,napa
Tiny amount of makeup,DAB
Japanese athlete,sumo wrestler
Flier relative,leaflet
