Answer,Clue,Description
OILER,Edmonton NHL player OR Suez Canal ship,"the Edmonton Oilers are a professional ice hockey team based in Edmonton, Alberta, Canada, that play in the National Hockey League (NHL)."
ALF,ET of '80s TV,"ALF"" is a popular American sitcom that aired in the late 1980s and early 1990s. The show was about a friendly alien named ALF (which stands for ""Alien Life Form"") who crash-lands in the garage of a suburban family, the Tanners."
USO,Operation Phone Home org.,"The USO stands for the United Service Organizations, which is a nonprofit organization that provides support to members of the United States military and their families. ""Operation phone home"" is a reference to the organization's history of offering free phone calls and internet access to military members so they can stay in touch with their loved ones while deployed."
MASSE,En ___ (all together),"Masse is a French word that means ""mass"" or ""bulk,"" but in the context of the crossword clue ""En ___ (all together),"" it's being used as an idiomatic phrase in French to mean ""all together"" or ""in a group."""
HIHO,"""The Farmer in the Dell"" syllables","In the children's song ""The Farmer in the Dell,"" the words ""hi-ho"" are sung as a repeated refrain after each line of the verse."
HOBNOB,Schmooze,"The word ""hobnob"" is often used to mean socializing or mingling in a friendly way, especially with people who are considered to be of a higher social status or with whom one wants to establish a relationship or connection. In this context, ""hobnob"" can be seen as a synonym for ""schmooze,"" which means to engage in small talk or casual conversation in order to gain favor or advance one's interests."
CPA,1099-MISC expert,"The abbreviation ""CPA"" stands for ""Certified Public Accountant,"" which is a professional designation for accountants in the United States. CPAs are licensed and regulated by state boards of accountancy and are authorized to provide a wide range of accounting services, including tax preparation and planning, financial analysis, and auditing. The 1099-MISC form is a tax form used in the United States to report payments made to non-employees or independent contractors, such as freelancers, consultants, or self-employed individuals."
NSA,Secretive org.,"The National Security Agency (NSA) is a United States intelligence agency responsible for global monitoring, collection, and processing of information and data for foreign and domestic intelligence and counterintelligence purposes. As a government agency responsible for national security, the NSA is known for being very secretive about its operations and activities."
HALE,Robust,"The word ""hale"" is often used to describe a person who is in good health, with a strong and robust physique. As such, it can be clued in a crossword puzzle as ""robust"" to suggest a synonym or related word."
OTOE,Central Plains people,"The Otoe�Missouria Tribe of Indians is a federally recognized tribe, located in Oklahoma. The tribe is made up of Otoe and Missouria peoples."
SARAS,Writers Paretsky and Douglass,Sara Paretsky and Sarah Douglass are both authors with the first name Sara/Sarah
FIEF,Feudal estate,"A fief was a piece of land granted by a lord to a vassal in return for the vassal's loyalty and service. It was a feudal landholding system that was common in medieval Europe, particularly during the 9th to 15th centuries. The lord who granted the fief could be a king, a duke, a count, or some other noble, while the vassal who received it could be a knight, a bishop, or any other person of noble birth."
CONDO,Complex unit,"The word ""condo"" is often used to refer to a type of housing unit that is individually owned within a larger complex or building. Therefore, it could be clued as ""complex unit"" since it refers to a residential unit that is part of a larger complex or building."
TRICK,Take in,"The word ""trick"" can be used to mean ""to deceive or cheat someone"". To ""take someone in"" means to deceive or trick them into believing something that is not true. Therefore, ""trick"" could be clued as ""take in"" because it describes the act of deceiving or cheating someone."
INTRIGUE,Secret plotting,"The word INTRIGUE can be defined as ""to arouse the interest or curiosity of; to fascinate"". It is often associated with secret or mysterious activities, such as plotting or scheming"
ANKARA,Capital that holds the Atat�rk Forest Farm and Zoo,"Ankara is the capital city of Turkey, and the Atat�rk Forest Farm and Zoo is one of the popular attractions in the city."
INSP,Title for Clouseau: Abbr.,"The clue is actually referring to Inspector Clouseau, a character in the Pink Panther film series. Therefore, the answer is ""INSP,"" an abbreviation for inspector."
ETTE,Cigar end,"""Butt"" would normally be the answer here. In this case, the clue is alluding to the fact that ""ette"" is the end of the word ""cigarette"""
PEAT,Fuel from bogs,PEAT is an organic material that is formed from partially decayed vegetation in wetland environments such as bogs. Peat can be used as fuel for heating and cooking in some parts of the world.
FRIAR,"Tuck, e.g.","Friar Tuck is a fictional character in the Robin Hood legend who is often depicted as a rotund, jovial friar. A friar is a member of a religious order who lives a communal life dedicated to preaching, teaching, and serving others."
OSCAR,green muppet,Oscar the Grouch is a green muppet
NOBEL,Inventor from Stockholm,"Alfred Nobel, the founder of the Nobel Prizes, was a Swedish chemist, engineer, and inventor who held over 350 patents during his lifetime. However, he was not from Stockholm but was born in Stockholm County in Sweden, specifically in the city of Stockholm's district of Norrmalm."
ARABIC,Like 5 (but not V),"referring to the fact that the number 5 is written as ""V"" in Roman numerals, but in the Arabic numeral system, 5 is represented by the symbol ""5"". Therefore, the word ""Arabic"" is being used here to refer to the numeral system that uses the numerals 0-9, which is commonly referred to as the ""Arabic numeral system"" or ""Hindu-Arabic numeral system""."
OMANI,Muscat native,"Muscat is the capital and largest city in Oman, a country located in the Middle East. Therefore, someone from Oman could be referred to as Omani."
NEVA,Saint Petersburg's river,"the Neva River is a prominent feature of the city of Saint Petersburg, Russia. It flows through the city and is an important part of its history, culture, and landscape."
DUEDATE,Obstetric measure,Refers to the estimated date of delivery (EDD) of a pregnant woman's baby.
TERRIER,Toto or Asta,"Toto is a Cairn Terrier who starred in the 1939 film ""The Wizard of Oz"". Asta is a Wire Fox Terrier who appeared in several films in the 1930s and 1940s, including ""The Thin Man"" series of detective movies."
HAITI,Half of Hispaniola OR Port-au-Prince's country,"Haiti is located on the western part of the island of Hispaniola in the Caribbean. The island of Hispaniola is divided between two countries, Haiti and the Dominican Republic, with Haiti occupying the western part and the Dominican Republic occupying the eastern part. Port-au-Prince is the capital city of Haiti"
ANKH,Egyptian symbol of life,"An ankh is an ancient Egyptian hieroglyphic symbol that represents life and fertility. It is typically portrayed as a cross with a loop at the top, and was commonly used in ancient Egyptian art and religion."
TEAR,Lachrymal drop,"The lachrymal glands produce tears, which help keep the surface of the eye moist and clear of debris."
BRAC,Bric-a-___,"""bric-a-brac"" means a collection of small decorative objects, often of little value or worth."
KLEE,Artist whose name sounds like a sculpting medium,Paul Klee was a Swiss-German artist known for his distinctive style of modern art.
EMILE,Rousseau treatise,"""Emile"" is a treatise written by the philosopher Jean-Jacques Rousseau that discusses education and child-rearing."
SUFI,Muslim mystic,"Sufism is a mystical and spiritual tradition in Islam. Its followers are known as Sufis or Sufi Muslims. Sufis seek to experience a direct and personal connection with God through prayer, meditation, and other spiritual practices, rather than simply following religious doctrine and law."
SKOSH,Itty bit,"The word ""skosh"" is often used informally to mean a small amount or a tiny bit. "
LABRADOR,It's across the Strait of Belle Isle from Newfoundland,"Labrador is a region in eastern Canada that is located across the Strait of Belle Isle from the island of Newfoundland. It is often referred to as ""Mainland Newfoundland"" because it is part of the same province (Newfoundland and Labrador) as the island of Newfoundland, but it is physically separated from it by the strait."
STAIRS,Flight makeup,"""Flight makeup"" refers to the composition or arrangement of stairs that lead to different levels or floors, like those found in a multi-story building or a staircase. "
IVEY,Alabama governor Kay,"Kay Ivey is an American politician and member of the Republican Party who has been serving as the 54th Governor of the state of Alabama since 2017. Prior to her current position, she served as the state's Lieutenant Governor and Treasurer."
BEGOT,Sired,"The word ""begot"" is the past tense of the verb ""beget,"" which means ""to father (offspring)"" or ""to produce (something)"" in general. So, the clue ""sired"" is a synonym for ""beget."""
EVIAN,Fiji alternative,"EVIAN is an alternative to Fiji water, which is a popular brand of bottled water that is sourced from Fiji. EVIAN is also a brand of bottled water, sourced from the French Alps, and is known for its high-quality and purity."
LENYA,"Lotte of ""From Russia With Love""","Lotte Lenya (1898-1981) was an Austrian singer, actress, and interpreter of the songs of her husband, composer Kurt Weill. She was known for her work in the German theatre, as well as her roles in Hollywood films and on Broadway. She is perhaps best known for her role as Rosa Klebb in the James Bond film ""From Russia with Love""."
FRESCO,Wall work ,"Fresco is a technique of mural painting executed on fresh plaster with water-based pigments. The pigments are absorbed by the wet plaster, which then dries and sets, creating a durable painting."
SOUP,Tureen contents,"A tureen is a serving dish for soup or stew, usually with a lid and large enough to hold several servings. It is often made of porcelain, ceramic, or silver, and may have handles on either side for easy carrying. Tureens can be decorative and ornate, and are often used for formal occasions or special events."
NATE,Statistician Silver,"Nate Silver is an American statistician, data analyst, and founder of the website FiveThirtyEight. He gained recognition for his accurate predictions of the outcomes in the 2008 and 2012 U.S. presidential elections. Silver has also worked as a consultant for professional sports teams and as a writer for The New York Times."
ODE,Pindar product,"Pindar was a Greek lyric poet from Thebes who lived in the 5th century BC and wrote odes. Therefore, an ""Pindar Product"" could refer to an ode since he was known for composing them."
ACLU,Bill of Rights guardian org.,"The ACLU stands for the American Civil Liberties Union, which is a nonprofit organization that works to defend and preserve individual rights and liberties guaranteed by the United States Constitution and laws. The ACLU has a history of defending free speech, freedom of religion, and the rights of immigrants, minorities, and LGBTQ+ individuals, among other issues. The organization is also known for its work on criminal justice reform, voting rights, and privacy rights."
OUTEAT,Best at an annual Coney Island contest,"The Coney Island contest is an annual competitive eating event held in Coney Island, New York on the Fourth of July. The competition involves participants trying to eat as many hot dogs (and buns) as possible within a set time limit, usually 10 minutes. The event is sponsored by Nathan's Famous, a popular hot dog restaurant, and has been held annually since 1972."
PSAS,"Philanthropic spots, briefly","stands for Public Service Announcements, which are advertisements or messages intended to promote a public service, such as health or safety information, public awareness campaigns, or charitable causes."
MERS,Expanses of eau,"in the context of the crossword clue ""Expanses of eau,"" ""mer"" is used as a pun on the French word ""mer"" (meaning sea) and the English word ""mere"" (meaning a body of standing water)."
ELENA,Kagan on the Court,"Refers to Elena Kagan, who is an Associate Justice of the Supreme Court of the United States."
ELIS,Yale Bowl rooters,"""Elis"" is a nickname for Yale University sports teams. The name is derived from the Hebrew name Elijah, and is a nod to Yale's early theological roots."
ASCOT,Fancy tie,An ascot is a type of necktie that is wider than a standard necktie and is often made of silk or another luxurious material. It is usually worn for formal occasions and is tied in a knot with a loop that hangs down in front.
DSO,British mil. honor,"DSO stands for Distinguished Service Order, which is a military decoration of the United Kingdom awarded for meritorious or distinguished service by officers of the armed forces during wartime or in peacetime."
AGA, ___ Khan,"The Aga Khan is the hereditary title of the Imam of the Nizari Ismaili community, which is a sect within the Shia branch of Islam. The current Aga Khan is Prince Shah Karim Al Hussaini, who is the 49th hereditary Imam of the Ismaili Muslims."
OBESE,Corpulent,"Corpulent means being excessively overweight or obese, having a large, bulky body. It is often used as a polite or formal way to describe someone who is overweight."
SMITS,"Jimmy of ""East New York""","Jimmy Smits is an American actor. He is known for his roles in popular television series such as ""L.A. Law,"" ""NYPD Blue,"" ""The West Wing,"" ""Dexter,"" and ""Sons of Anarchy,"" among others. Smits has also appeared in numerous films, including ""Star Wars: Episode II - Attack of the Clones"" and ""Rogue One: A Star Wars Story."""
SOME,"""___ pig"" (""Charlotte's Web"" message)",refers to the message that Charlotte the spider weaves into her web to save Wilbur the pig from being slaughtered.
SERAPE,Colorful Latin American shawl,"A serape (also spelled sarape) is a colorful, rectangular shawl worn as a garment by Mexican and Central American men. It is often woven with stripes and fringed at the ends, and can be used as a blanket, a poncho, or a cape. Serapes are commonly made from wool or cotton and are associated with the culture and traditions of Mexico."
MEG,"Tom's ""Sleepless in Seattle"" co-star","refers to the 1993 romantic comedy movie ""Sleepless in Seattle,"" which starred Tom Hanks and Meg Ryan. Meg Ryan played the female lead in the movie, and her character was the love interest of Tom Hanks' character."
ADAGIO,"Slowly, in a symphony","ADAGIO is a musical term that indicates a slow, leisurely tempo. In classical music, it typically refers to a slow movement or section of a piece, where the tempo is slow and the mood is often melancholic or reflective."
URAL,River between Europe and Asia,"The Ural River is a river in Russia and Kazakhstan, and is the third-longest river in Europe (after the Volga and the Danube). The river flows through the Ural Mountains and into the Caspian Sea. It is approximately 2,428 kilometers (1,509 miles) long and forms part of the boundary between Europe and Asia."
ESPY,Award such as Best Female Athlete with a Disability,The ESPY Awards (Excellence in Sports Performance Yearly Award) is an annual awards ceremony presented by ESPN to honor exceptional individual and team athletic achievements and other sports-related performances.
HANS,___ Christian Andersen,"Hans Christian Andersen (1805-1875) was a Danish author and poet, best known for his fairy tales. Some of his most famous works include ""The Little Mermaid,"" ""The Emperor's New Clothes,"" ""The Ugly Duckling,"" and ""The Snow Queen."""
EUCHRE,Trick-taking card game,"Euchre is a trick-taking card game that is usually played with four people in two partnerships. The game is played with a deck of 24 cards consisting of the Ace, King, Queen, Jack, 10, and 9 of each of the four suits (spades, hearts, diamonds, and clubs). The objective of the game is to be the first partnership to score 10 points by winning tricks and correctly predicting the number of tricks that will be won. Euchre is particularly popular in North America, especially in the Midwest region of the United States and in Canada."
MIA,"Sara of ""Ferris Bueller's Day Off""","Mia Sara is an American actress, best known for her role as Sloane Peterson in the 1986 film ""Ferris Bueller's Day Off."" She was born on June 19, 1967, in New York City and began her acting career in the mid-1980s. In addition to ""Ferris Bueller's Day Off,"" she also appeared in the films ""Legend"" (1985) and ""Timecop"" (1994), as well as the TV series ""Birds of Prey"" (2002). Sara retired from acting in the early 2000s and has since focused on raising her family."
ROLF,Massage deeply,"""Rolfing."" This is a deep-tissue massage technique that aims to realign and balance the body's connective tissues."
NICENE,___ Creed (set of Christian beliefs),"Nicene Creed is a statement of Christian faith that was originally adopted at the First Council of Nicaea in 325 AD. It is one of the most widely used and recognized statements of Christian doctrine, and is used by many Christian denominations in their worship services. The Nicene Creed affirms the belief in the Trinity, the divinity of Jesus Christ, and the resurrection of the dead."
NCO,Cpl. or sgt.,"NCO stands for ""Non-Commissioned Officer"" and is a term used in the military to refer to enlisted personnel who hold a rank below that of a commissioned officer."
WHIGS,"Taylor and Fillmore, politically","Zachary Taylor was the 12th president of the United States, serving from 1849 until his death in 1850. He was a Whig, a member of a political party that was active in the mid-19th century and favored strong federal government, protectionist trade policies, and modernization. Millard Fillmore was the 13th president of the United States, serving from 1850 to 1853. He succeeded Zachary Taylor upon his death and also belonged to the Whig Party. Fillmore was known for his efforts to preserve the Union and his support for the Compromise of 1850, which attempted to settle disputes between the Northern and Southern states over the issue of slavery."
ALCOA,Big metals producer,Alcoa is a multinational aluminum manufacturing company and one of the largest producers of aluminum in the world. It has been a significant player in the aluminum industry since its founding in 1888 and has played a critical role in the development and commercialization of many aluminum applications.
SNOG,"Make out, in England","""SNOG"" is a British slang term that means to kiss or make out."
NOLTE,"Nick of ""Cape Fear""","Nick Nolte is an American actor who played the character Sam Bowden in the 1991 film ""Cape Fear."""
ENID,Oklahoma city,"Enid is a city located in the state of Oklahoma in the United States. It is the county seat of Garfield County and has a population of approximately 50,000 people."
JILT,Leave at the altar,"The word ""jilt"" means to suddenly reject or abandon someone, especially a romantic partner, usually before a planned or expected commitment such as marriage. "
SINAI,Peninsula east of the Gulf of Suez,"The Sinai Peninsula is a triangular peninsula located in Egypt and is situated between the Mediterranean Sea to the north and the Red Sea to the south. It is about 60,000 square kilometers in area and is bordered by Israel to the east, Jordan to the northeast, and Saudi Arabia to the south and west. The peninsula is significant historically and culturally, as it was the location of the biblical Mount Sinai where Moses received the Ten Commandments and is also home to the Saint Catherine's Monastery, a UNESCO World Heritage site."
ELLIS,New York Harbor's ___ Island,"Ellis Island is a small island located in New York Harbor, USA. It served as the main entry point for millions of immigrants who arrived in the United States from 1892 to 1954. During this time, it was the busiest immigrant inspection station in the country and processed an estimated 12 million immigrants. Today, it is a museum and national monument that preserves the history of immigration to the United States."
ELS,Golfer Ernie,"Ernie Els is a professional golfer from South Africa. He has won numerous golf tournaments around the world, including four major championships: the U.S. Open twice (1994, 1997) and the Open Championship twice (2002, 2012). Els has been one of the top-ranked golfers in the world for many years and has also been recognized for his charitable work, particularly in the area of autism awareness."
GOYA,"""The Naked Maja"" painter","Francisco Goya (1746-1828) was a Spanish painter and printmaker, considered one of the most important figures in the development of modern art. He is known for his expressive portraits, dramatic landscapes, and powerful depictions of war and social injustice. Some of his most famous works include ""The Third of May 1808,"" which depicts the execution of Spanish citizens by French soldiers during the Peninsular War, and his series of ""Black Paintings,"" a group of works he created on the walls of his house in his later years that deal with themes of death, fear, and despair. Goya's style was groundbreaking for his time, and he is often credited with being one of the first modern artists."
LULU,Humdinger,"The word ""Lulu"" can be used to refer to something that is remarkable or excellent, and it can also mean an outstanding person or thing."
LOUPE,Jeweler's magnifier,"A loupe is a small magnifying glass used to see small details more closely. It is commonly used by jewelers, watchmakers, and photographers, among others, to inspect and examine objects more closely. Loupes come in various sizes and magnification levels and can be handheld or worn on the eye like a pair of glasses. They are useful for tasks that require precise and detailed inspection, such as examining gemstones, watch parts, or small print."
CASED,Scoped out before robbing,"When a criminal ""cases"" a place, they are studying the premises to determine potential entry points, security measures, and the best time to strike."
UMA,Actress Thurman,"Uma Thurman is an American actress who has appeared in a wide variety of films throughout her career. She was born on April 29, 1970, in Boston, Massachusetts. Thurman started her acting career in the late 1980s and early 1990s, appearing in movies such as ""Dangerous Liaisons"" and ""Henry & June."""
SHIA,Islamic sect,"The word ""Shia"" is often used to refer to a Muslim sect known as Shia Islam or Shiite Islam. Shia is one of the two main branches of Islam, the other being Sunni Islam."
AMI,"Friend, in France",Ami means friend in French
KEN,"""Jeopardy!"" host Jennings OR ""Crazy Rich Asians"" actor Jeong","Ken Jennings is an American game show contestant, author, and speaker. He was born on May 23, 1974, in Edmonds, Washington. Jennings gained fame in 2004 when he won 74 consecutive games on the game show ""Jeopardy!,"" which is the longest winning streak in the show's history. Kendrick Kang-Joh Jeong is an American stand-up comedian, actor, producer, writer and licensed physician."
MIB,"97 sci-fi film hidden in ""Miami Blues""","""MIB"" is an acronym for the 1997 science fiction film ""Men in Black,"" which starred Will Smith and Tommy Lee Jones. The movie was directed by Barry Sonnenfeld and was a box office success, spawning two sequels and a spin-off. Therefore, the phrase ""97 sci-fi film hidden in 'Miami Blues'"" could be used to clue the word ""MIB"" because the letters ""MIB"" are hidden within the letters of ""Miami Blues."" "
ANEMIA,Iron deficiency,"Anemia is a medical condition characterized by a deficiency in the number of red blood cells or a decrease in the amount of hemoglobin in the blood. Hemoglobin is a protein found in red blood cells that helps to carry oxygen throughout the body. Anemia can result in reduced oxygen supply to the body's tissues, which can lead to symptoms such as fatigue, weakness, shortness of breath, and pale skin."
